X,C,Go,Rust,A,X_B,VS_B
0.501530,,,0.977179,arm64_darwin_rs-pure,arm64_windows_rs-pure,arm64_darwin_rs-sys
0.501530,,,0.978215,arm64_windows_rs-pure,arm64_darwin_rs-pure,arm64_windows_rs-sys
0.886929,,,0.977179,arm64_darwin_rs-sys,arm64_linux_rs-sys,arm64_darwin_rs-pure
0.886929,,,0.975302,arm64_linux_rs-sys,arm64_darwin_rs-sys,arm64_linux_rs-pure
0.502623,,,0.977179,arm64_darwin_rs-sys,arm64_windows_rs-sys,arm64_darwin_rs-pure
0.502623,,,0.978215,arm64_windows_rs-sys,arm64_darwin_rs-sys,arm64_windows_rs-pure
0.593488,,0.101371,,arm64_darwin_tgo,arm64_linux_tgo,arm64_darwin_go
0.593488,,0.143318,,arm64_linux_tgo,arm64_darwin_tgo,arm64_linux_go
0.020691,0.567918,,,arm64_linux_clang,arm64_windows_clang,arm64_linux_gcc
0.020691,0.269875,,,arm64_windows_clang,arm64_linux_clang,arm64_windows_msvc
0.657699,,0.143318,,arm64_linux_go,arm64_windows_go,arm64_linux_tgo
0.518809,,,0.975302,arm64_linux_rs-pure,arm64_windows_rs-pure,arm64_linux_rs-sys
0.518809,,,0.978215,arm64_windows_rs-pure,arm64_linux_rs-pure,arm64_windows_rs-sys
0.518416,,,0.975302,arm64_linux_rs-sys,arm64_windows_rs-sys,arm64_linux_rs-pure
0.518416,,,0.978215,arm64_windows_rs-sys,arm64_linux_rs-sys,arm64_windows_rs-pure
